sample_name	filename	ATTRIBUTE_lcms_sampletype	lcms_batch	lcms_samplingmethod	lcms_sampletype	lcms_extractionmethod	emp500_study_id	emp500_title	emp500_principal_investigator	tier	barcode_prefix	study_sample_number	sample_name_plus_plate	metab_id_2017	sampling_materials	sampling_method	environmental_package	physical_specimen_institution	env_biome	env_feature	env_material	empo_1	empo_2	empo_3	sample_type	taxon_id	scientific_name	host_taxid	host_common_name	host_scientific_name	geo_loc_name	latitude	longitude	elevation	aliquots_remaining	pnnl_gcms_raw_dataset_name	metabo_v2_filename_2019	metabo_v2_batch	metabo_v2_position	metabo_v2_extraction_protocol	metabo_v2_sampletype	metabo_v2_sampletype_sub
1D2_1_52_berry-2-s006-a04.mzML	1D2_1_52_berry-2-s006-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s006	6	5.Berry2.sediment.Do70	P5_EMP_72	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Hampden County	42.17566	-72.7	75.6	5	Not applicable	1D2_1_52_berry-2-s006-a04.mzML	1.0	1D2	Bulk_201901_UCSD	Sample	Bulk
1B6_1_27_berry-2-s007-a04.mzML	1B6_1_27_berry-2-s007-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s007	7	2.Berry2.sediment.Pi5	P2_EMP_65	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Town of Ludlow	42.30844	-71.3412	69.8	2	Not applicable	1B6_1_27_berry-2-s007-a04.mzML	1.0	1B6	Bulk_201901_UCSD	Sample	Bulk
1E3_1_73_berry-2-s008-a04.mzML	1E3_1_73_berry-2-s008-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s008	8	3.Berry2.sediment.Pi11	P3_EMP_59	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Town of Ludlow	42.30844	-71.3412	69.8	6	Not applicable	1E3_1_73_berry-2-s008-a04.mzML	1.0	1.00E+03	Bulk_201901_UCSD	Sample	Bulk
1A2_1_2_berry-2-s009-a04.mzML	1A2_1_2_berry-2-s009-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s009	9	1.Berry2.sediment.Pi31	Not applicable	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Town of Ludlow	42.30844	-71.3412	69.8	7	Not applicable	1A2_1_2_berry-2-s009-a04.mzML	1.0	1A2	Bulk_201901_UCSD	Sample	Bulk
1C11_1_45_berry-2-s010-a04.mzML	1C11_1_45_berry-2-s010-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s010	10	4.Berry2.sediment.Pi61	P4_EMP_78	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Town of Ludlow	42.30844	-71.3412	69.8	7	Not applicable	1C11_1_45_berry-2-s010-a04.mzML	1.0	1C11	Bulk_201901_UCSD	Sample	Bulk
1D3_1_53_berry-2-s011-a04.mzML	1D3_1_53_berry-2-s011-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s011	11	5.Berry2.sediment.Pi71	P5_EMP_36	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Town of Ludlow	42.30844	-71.3412	69.8	6	Not applicable	1D3_1_53_berry-2-s011-a04.mzML	1.0	1D3	Bulk_201901_UCSD	Sample	Bulk
1E4_1_74_berry-2-s012-a04.mzML	1E4_1_74_berry-2-s012-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s012	12	2.Berry2.sediment.Pi101	P2_EMP_88	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Town of Ludlow	42.30844	-71.3412	69.8	5	Not applicable	1E4_1_74_berry-2-s012-a04.mzML	1.0	1.00E+04	Bulk_201901_UCSD	Sample	Bulk
1A7_1_9_berry-2-s013-a04.mzML	1A7_1_9_berry-2-s013-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s013	13	1.Berry2.sediment.Un6	Not applicable	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	4	Not applicable	1A7_1_9_berry-2-s013-a04.mzML	1.0	1A7	Bulk_201901_UCSD	Sample	Bulk
1B11_1_32_berry-2-s014-a04.mzML	1B11_1_32_berry-2-s014-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s014	14	5.Berry2.sediment.Un12	P5_EMP_58	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	5	Not applicable	1B11_1_32_berry-2-s014-a04.mzML	1.0	1B11	Bulk_201901_UCSD	Sample	Bulk
1D6_1_56_berry-2-s015-a04.mzML	1D6_1_56_berry-2-s015-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s015	15	2.Berry2.sediment.Un26	P2_EMP_8	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	4	Not applicable	1D6_1_56_berry-2-s015-a04.mzML	1.0	1D6	Bulk_201901_UCSD	Sample	Bulk
1A4_1_5_berry-2-s016-a04.mzML	1A4_1_5_berry-2-s016-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s016	16	3.Berry2.sediment.Un42	P3_EMP_20	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	5	Not applicable	1A4_1_5_berry-2-s016-a04.mzML	1.0	1A4	Bulk_201901_UCSD	Sample	Bulk
1B9_1_31_berry-2-s017-a04.mzML	1B9_1_31_berry-2-s017-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s017	17	4.Berry2.sediment.Un51	P4_EMP_3	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	5	Not applicable	1B9_1_31_berry-2-s017-a04.mzML	1.0	1B9	Bulk_201901_UCSD	Sample	Bulk
1D8_1_60_berry-2-s018-a04.mzML	1D8_1_60_berry-2-s018-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s018	18	5.Berry2.sediment.Un71	P5_EMP_96	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	5	Not applicable	1D8_1_60_berry-2-s018-a04.mzML	1.0	1D8	Bulk_201901_UCSD	Sample	Bulk
1B2_1_20_berry-2-s019-a04.mzML	1B2_1_20_berry-2-s019-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s019	19	2.Berry2.sediment.Un96	P2_EMP_6	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	5	Not applicable	1B2_1_20_berry-2-s019-a04.mzML	1.0	1B2	Bulk_201901_UCSD	Sample	Bulk
1D12_1_69_berry-2-s020-a04.mzML	1D12_1_69_berry-2-s020-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s020	20	3.Berry2.sediment.Un109	P3_EMP_56	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Norfolk County	42.06	-71.37761	92.7	4	Not applicable	1D12_1_69_berry-2-s020-a04.mzML	1.0	1D12	Bulk_201901_UCSD	Sample	Bulk
1E1_1_71_king-27-s001-a04.mzML	1E1_1_71_king-27-s001-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	1	king.27.s001	1	2.King27.Edge1.1.0.2	P2_EMP_66	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.388694	-155.249333	1500	7	Not applicable	1E1_1_71_king-27-s001-a04.mzML	1.0	1.00E+01	Bulk_201901_UCSD	Sample	Bulk
1E5_1_76_king-27-s002-a04.mzML	1E5_1_76_king-27-s002-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	1	king.27.s002	2	1.King27.Edge.1.1.8.10	Not applicable	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.388694	-155.249333	1500	7	Not applicable	1E5_1_76_king-27-s002-a04.mzML	1.0	1.00E+05	Bulk_201901_UCSD	Sample	Bulk
1A11_1_13_king-27-s003-a04.mzML	1A11_1_13_king-27-s003-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	1	king.27.s003	3	4.King27.Edge1.2.0.2	P4_EMP_63	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.388694	-155.249333	1500	7	Not applicable	1A11_1_13_king-27-s003-a04.mzML	1.0	1A11	Bulk_201901_UCSD	Sample	Bulk
1C6_1_40_king-27-s004-a04.mzML	1C6_1_40_king-27-s004-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	1	king.27.s004	4	6.King27.Edge1.2.8_10	Not applicable	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.388694	-155.249333	1500	7	Not applicable	1C6_1_40_king-27-s004-a04.mzML	1.0	1C6	Bulk_201901_UCSD	Sample	Bulk
1C5_1_39_king-27-s005-a03.mzML	1C5_1_39_king-27-s005-a03.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	2	king.27.s005	5	5.King27.Edge1.3.0.2	P5_EMP_29	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.388694	-155.249333	1500	8	Not applicable	1C5_1_39_king-27-s005-a03.mzML	1.0	1C5	Bulk_201901_UCSD	Sample	Bulk
1H11_3_30_king-27-s017-a04.mzML	1H11_3_30_king-27-s017-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	1	king.27.s017	17	1.King27.Thermal.1.8.10	Not applicable	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.389389	-155.25	1500	5	Not applicable	1H11_3_30_king-27-s017-a04.mzML	1.0	1H11	Bulk_201901_UCSD	Sample	Bulk
1G10_3_3_king-27-s019-a04.mzML	1G10_3_3_king-27-s019-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	1	king.27.s019	19	6.King27.Thermal.2.8_10	Not applicable	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.389389	-155.25	1500	5	Not applicable	1G10_3_3_king-27-s019-a04.mzML	1.0	1G10	Bulk_201901_UCSD	Sample	Bulk
1H9_3_27_king-27-s020-a03.mzML	1H9_3_27_king-27-s020-a03.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	2	king.27.s020	20	4.King27.Thermal.3.0.2	P4_EMP_66	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.389389	-155.25	1500	8	Not applicable	1H9_3_27_king-27-s020-a03.mzML	1.0	1H9	Bulk_201901_UCSD	Sample	Bulk
1H6_3_20_king-27-s021-a03.mzML	1H6_3_20_king-27-s021-a03.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	27	Puhimau Hawai'i volcanic soil	King	2	king.27.s021	21	6.King27.Thermal.3.8_10	Not applicable	NaN	bulk	soil	UCSD	forest biome	volcanic feature	volcanic soil	Free-living	Non-saline	Soil (non-saline)	soil	4010658.0	soil metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Hawaii:Kilauea Volcano	19.389389	-155.25	1500	6	Not applicable	1H6_3_20_king-27-s021-a03.mzML	1.0	1H6	Bulk_201901_UCSD	Sample	Bulk
1H1_3_10_mayer-33-s001-a04.mzML	1H1_3_10_mayer-33-s001-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	33	West Texas playa	Mayer	Not applicable	mayer.33.s001	1	1.Mayer33.sediment.1	Not applicable	NaN	bulk	sediment	UCSD	grassland biome	intermittent pond	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Texas:Deaf Smith County	34.604825	-102.419386	1189	5	Not applicable	1H1_3_10_mayer-33-s001-a04.mzML	1.0	1H1	Bulk_201901_UCSD	Sample	Bulk
1H8_3_22_mayer-33-s003-a04.mzML	1H8_3_22_mayer-33-s003-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	33	West Texas playa	Mayer	Not applicable	mayer.33.s003	3	2.Mayer33.sediment.3	P2_EMP_41	NaN	bulk	sediment	UCSD	grassland biome	intermittent pond	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Texas:Deaf Smith County	34.983962	-102.385234	1183	5	Not applicable	1H8_3_22_mayer-33-s003-a04.mzML	1.0	1H8	Bulk_201901_UCSD	Sample	Bulk
1H3_3_12_mayer-33-s005-a04.mzML	1H3_3_12_mayer-33-s005-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	33	West Texas playa	Mayer	Not applicable	mayer.33.s005	5	1.Mayer33.sediment.5	Not applicable	NaN	bulk	sediment	UCSD	grassland biome	intermittent pond	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Texas:Deaf Smith County	34.541698	-102.312672	1169	5	Not applicable	1H3_3_12_mayer-33-s005-a04.mzML	1.0	1H3	Bulk_201901_UCSD	Sample	Bulk
1H7_3_21_mayer-33-s007-a04.mzML	1H7_3_21_mayer-33-s007-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	33	West Texas playa	Mayer	Not applicable	mayer.33.s007	7	3.Mayer33.sediment.7	P3_EMP_14	NaN	bulk	sediment	UCSD	grassland biome	intermittent pond	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Texas:Lubbock County	33.505492	-101.961638	990	5	Not applicable	1H7_3_21_mayer-33-s007-a04.mzML	1.0	1H7	Bulk_201901_UCSD	Sample	Bulk
1D9_1_61_mayer-34-s001-a04.mzML	1D9_1_61_mayer-34-s001-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	34	Animas watershed	Mayer	Not applicable	mayer.34.s001	1	1.Mayer34.sediment.1	Not applicable	NaN	bulk	sediment	UCSD	Small river biome	tributary	stream sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Colorado:San Juan County:Animas River	37.89084	-107.64985	3212	6	Not applicable	1D9_1_61_mayer-34-s001-a04.mzML	1.0	1D9	Bulk_201901_UCSD	Sample	Bulk
1B5_1_23_mayer-34-s002-a04.mzML	1B5_1_23_mayer-34-s002-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	34	Animas watershed	Mayer	Not applicable	mayer.34.s002	2	1.Mayer34.sediment.2	Not applicable	NaN	bulk	sediment	UCSD	Small river biome	tributary	stream sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Colorado:San Juan County:Animas River	37.89004	-107.65252	3191	6	Not applicable	1B5_1_23_mayer-34-s002-a04.mzML	1.0	1B5	Bulk_201901_UCSD	Sample	Bulk
1C3_1_36_mayer-34-s003-a04.mzML	1C3_1_36_mayer-34-s003-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	34	Animas watershed	Mayer	Not applicable	mayer.34.s003	3	4.Mayer34.sediment.3	P4_EMP_46	NaN	bulk	sediment	UCSD	Small river biome	tributary	stream sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Colorado:San Juan County:Animas River	37.80992	-107.66059	2832	5	Not applicable	1C3_1_36_mayer-34-s003-a04.mzML	1.0	1C3	Bulk_201901_UCSD	Sample	Bulk
1A6_1_8_mayer-34-s004-a04.mzML	1A6_1_8_mayer-34-s004-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	34	Animas watershed	Mayer	Not applicable	mayer.34.s004	4	2.Mayer34.sediment.4	P2_EMP_16	NaN	bulk	sediment	UCSD	Small river biome	tributary	stream sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Colorado:San Juan County:Animas River	37.81863	-107.6449	2852	6	Not applicable	1A6_1_8_mayer-34-s004-a04.mzML	1.0	1A6	Bulk_201901_UCSD	Sample	Bulk
1A8_1_10_mayer-34-s005-a04.mzML	1A8_1_10_mayer-34-s005-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	34	Animas watershed	Mayer	Not applicable	mayer.34.s005	5	5.Mayer34.sediment.5	P5_EMP_10	NaN	bulk	sediment	UCSD	Small river biome	tributary	stream sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Colorado:San Juan County:Animas River	37.29547	-107.87073	1988	6	Not applicable	1A8_1_10_mayer-34-s005-a04.mzML	1.0	1A8	Bulk_201901_UCSD	Sample	Bulk
